filename,category,people,job_title,media_personality
388.txt,business,Hugo Chavez,President of Venezuela,Politician
388.txt,business,Jose Vicente Rangel,Vice President of Venezuela,Politician
388.txt,business,Arnoldo Marquez,Agriculture Minister of Venezuela,Politician
149.txt,business,Carl-Peter Forster,GM Europe president,Politician
015.txt,business,Jacques Barrot,Vice President of the European Commission and Commissioner for Transport,Politician
213.txt,business,Gordon Brown,Chancellor,Politician
213.txt,business,John Brown,Minister,Politician
213.txt,business,Mozart,Composer,Musician
159.txt,business,Palaniappan Chidambaram,Finance Minister,Politician
401.txt,business,Robert Stearns,senior vice president at Marsh & McLennan,Politician
428.txt,business,Asif Zardari,Former Prime Minister Benazir Bhutto's husband,Politician
399.txt,business,Mani Shankar Aiyar,Indian oil minister,Politician
399.txt,business,Vladimir Putin,Russian president,Politician
170.txt,business,Deputy Prime Minister,Office of the Deputy Prime Minister,Politician
010.txt,business,Bill Clinton,Former President of the United States,Politician
210.txt,business,Gordon Brown,UK Chancellor of the Exchequer,Politician
006.txt,business,Heizo Takenaka,Economy Minister,Politician
012.txt,business,Susilo Bambang Yudhoyono,President of Indonesia,Politician
012.txt,business,Sri Mulyani Indrawati,State Minister for National Development Planning,Politician
012.txt,business,Megawati Sukarnoputri,Former President of Indonesia,Politician
358.txt,business,Vladimir Putin,Russian President,Politician
167.txt,business,Rafik Hariri,former prime minister,Politician
036.txt,business,Sir Digby Jones,CBI director-general,TV/Film Personality
195.txt,business,Gordon Brown,Chancellor of the Exchequer,Politician
354.txt,business,Sontaya Kunplome,Tourism Minister,Politician
354.txt,business,Ahmed Shaheed,Chief Government Spokesman,Media Personality
432.txt,business,Robert Boyle,BA director of commercial planning,TV/Film Personality
426.txt,business,German Gref,Economy Minister,Politician
426.txt,business,Andrei Illarionov,Economic Adviser to President Vladimir Putin,Politician
340.txt,business,Hugo Chavez,Venezuelan president,Politician
382.txt,business,Gordon Lishman,Director General of Age Concern England,TV/Film Personality
194.txt,business,Peter Williams,CML deputy director,TV/Film Personality
235.txt,business,Chris Curry,PPI research director,TV/Film Personality
182.txt,business,Nicolas Sarkozy,Finance Minister,Politician
155.txt,business,Kurt Barnard,President of Barnard's Retail Consulting Group,Politician
380.txt,business,Monica Chadha,BBC Delhi reporter,Media Personality
343.txt,business,Omar Davies,Finance Minister,Politician
425.txt,business,Bill Owens,President and Chief Executive of Nortel Networks,Politician
154.txt,business,Gordon Brown,Chancellor,Politician
154.txt,business,Oliver Letwin,Shadow Chancellor,Politician
197.txt,business,Viktor Yushchenko,President of Ukraine,Politician
197.txt,business,Yulia Tymoshenko,Prime Minister of Ukraine,Politician
197.txt,business,Viktor Pinchuk,Son-in-law of former-President Leonid Kuchma,Politician
008.txt,business,Palaniappan Chidambaram,India's finance minister,Politician
008.txt,business,Gordon Brown,UK finance minister,Politician
222.txt,business,Vladimir Putin,President of Russia,Politician
222.txt,business,Yuri Trutnev,Minister of Natural Resources,Politician
226.txt,business,Joss Stone,British singer,Musician
226.txt,business,Franz Ferdinand,Musician,Musician
391.txt,business,Vladimir Putin,Russian President,Politician
391.txt,business,Mike Lake,Yukos spokesman,Media Personality
434.txt,business,Thadao Chino,ABD president,Politician
353.txt,business,Rodrigo Rato,Managing director of the International Monetary Fund,TV/Film Personality
347.txt,business,Kamal Nath,Indian federal commerce Minister,Politician
390.txt,business,Gus Whitcomb,Company spokesman,Media Personality
019.txt,business,Dayanidhi Maran,Communications Minister,Politician
019.txt,business,Manmohan Singh,Prime Minister,Politician
225.txt,business,Kevin Hawkins,BRC director general,TV/Film Personality
231.txt,business,Hugo Chavez,President of Venezuela,Politician
231.txt,business,Victor Alvarez,Minister,Politician
033.txt,business,Jose Leibovich,Deputy Planning Director,TV/Film Personality
345.txt,business,James Wolfensohn,World Bank president,Politician
345.txt,business,Thaksin Shinawatra,Prime Minister of Thailand,Politician
423.txt,business,Stanley Fischer,"Vice chairman of Citigroup, former International Monetary Fund director",TV/Film Personality
423.txt,business,Ariel Sharon,Prime Minister of Israel,Politician
423.txt,business,Binyamin Netanyahu,Finance Minister of Israel,Politician
422.txt,business,Rupert Murdoch,Chairman of News Corporation,Media Personality
436.txt,business,Jean-Claude Trichet,ECB President,Politician
378.txt,business,Saparmurat Niyazov,Turkmen President,Politician
393.txt,business,Lillian Tan,"Non-Executive Director of Laura Ashley, Head of a Malaysian retailer",TV/Film Personality
146.txt,business,Wim Kok,former Dutch prime minister,Politician
146.txt,business,Jose Manuel Barroso,incoming president of the European Commission,Politician
185.txt,business,Charles Schumer,New York Senator,Politician
185.txt,business,Pat Leahy,Vermont Senator,Politician
294.txt,business,George W Bush,President,Politician
041.txt,business,George W Bush,President,Politician
055.txt,business,Trevor Manuel,Finance Minister,Politician
069.txt,business,David Learmount,Operations and Safety Editor at Flight International,Media Personality
121.txt,business,President Bush,President,Politician
323.txt,business,Miles Shipside,Commercial director at Rightmove,TV/Film Personality
323.txt,business,Michael Coogan,Director general at CML,TV/Film Personality
445.txt,business,Bertie Ahern,Irish Prime Minister,Politician
445.txt,business,Martin Cullen,Irish Transport Minister,Politician
478.txt,business,Hosni Mubarak,Egyptian President,Politician
478.txt,business,Ariel Sharon,Israeli Prime Minister,Politician
322.txt,business,Heizo Takenaka,Economics Minister,Politician
120.txt,business,Adamu Bello,Agriculture Minister,Politician
097.txt,business,George W Bush,President,Politician
295.txt,business,Heizo Takenaka,Economy Minister,Politician
281.txt,business,Mark Hamilton,Axa spokesman,Media Personality
254.txt,business,Peter Chernin,Chief Operating Officer of News Corp,Media Personality
491.txt,business,Aburizal Bakrie,Economics Minister,Politician
491.txt,business,Mahendra Siregar,Deputy Economics Minister,Politician
491.txt,business,Alwi Shihab,Welfare Minister,Politician
320.txt,business,Mohammed Mustafa al-Jibouri,Iraq's Trade Minister,Politician
308.txt,business,Herve Gaymard,French finance minister,Politician
309.txt,business,John Patterson,Executive director at AstraZeneca,TV/Film Personality
447.txt,business,Peter Chernin,Chief Operating Officer of News Corp,Media Personality
321.txt,business,Ivan Menezes,President of Diageo North America,Politician
490.txt,business,Luiz Inacio Lula da Silva,President of Brazil,Politician
043.txt,business,Prince Saud Al-Faisal,Foreign Minister,Politician
043.txt,business,Ghazi al-Gosaibi,Labour Minister,Politician
269.txt,business,Gerhard Schroeder,Germany's Chancellor,Politician
241.txt,business,Gordon Brown,UK chancellor,Politician
241.txt,business,Nelson Mandela,Former South African president,Politician
241.txt,business,Trevor Manuel,South Africa Finance Minister,Politician
296.txt,business,Keith Rockwell,WTO spokesman,Media Personality
279.txt,business,Alois Rhiel,Minister for Economic Affairs in Frankfurt's state of Hessen,Politician
245.txt,business,George W Bush,US President,Politician
090.txt,business,Dominique Bussereau,Agriculture Minister,Politician
133.txt,business,Ephraim Inoni,Prime Minister of Cameroon,Politician
133.txt,business,Fidelis Nanga,Journalist,Media Personality
443.txt,business,Lance Friedmann,Kraft senior vice president,Politician
457.txt,business,Gerhard Schroeder,German Chancellor,Politician
331.txt,business,Reveta Bowers,Former Disney director,TV/Film Personality
331.txt,business,Stanley Gold,Former Disney director,TV/Film Personality
331.txt,business,Raymond Watson,Former Disney director,TV/Film Personality
331.txt,business,John Bryson,Current Disney director,TV/Film Personality
331.txt,business,Roy Disney,Former Disney director,TV/Film Personality
331.txt,business,Thomas Murphy,Former Disney director,TV/Film Personality
495.txt,business,Steven Kull,Pipa director,TV/Film Personality
495.txt,business,Elizabeth Blunt,BBC correspondent,Media Personality
495.txt,business,Louisa Lim,BBC correspondent,Media Personality
495.txt,business,David Willey,BBC correspondent,Media Personality
052.txt,business,Silvio Berlusconi,Italian Prime Minister,Politician
287.txt,business,Glen Wood,Vice President of Deutsche Securities Japan,Politician
291.txt,business,Charles A Blixt,Executive Vice-President of RJ Reynolds Tobacco,Politician
252.txt,business,Chris Panayis,Managing director of ISP Freedom2surf,TV/Film Personality
093.txt,business,Roberto Lavagna,Argentina's economy minister,Politician
093.txt,business,Nestor Kirchner,President of Argentina,Politician
130.txt,business,Pranab Mukherjee,Defence Minister,Politician
130.txt,business,Dinesh Keskar,Senior Vice President Boeing,Politician
332.txt,business,Vladimir Putin,Russia's president,Politician
454.txt,business,Rolf Dress,Spokesman for Union Investment,Media Personality
469.txt,business,Ali Babacan,Turkish economics minister,Politician
469.txt,business,Rodrigo de Rato,IMF's managing director,TV/Film Personality
125.txt,business,Mark Vaile,Trade Minister,Politician
092.txt,business,Ehud Olmert,Israeli industry minister,Politician
253.txt,business,President Bush,President,Politician
253.txt,business,Herbert Hoover,Former President,Politician
253.txt,business,Ken Mayland,President of ClearView Economics,Politician
276.txt,entertainment,Pete Doherty,Rock singer,Musician
048.txt,entertainment,Marlon Brando,Actor,TV/Film Personality
048.txt,entertainment,Dan Rather,News anchor,Media Personality
048.txt,entertainment,Janet Jackson,Musician,Musician
100.txt,entertainment,Robert De Niro,Actor,TV/Film Personality
100.txt,entertainment,Dustin Hoffman,Actor,TV/Film Personality
100.txt,entertainment,Barbra Streisand,Actor,TV/Film Personality
100.txt,entertainment,Ben Stiller,Actor,TV/Film Personality
100.txt,entertainment,Paul Dergarabedian,President of Exhibitor Relations,Politician
100.txt,entertainment,Leonardo DiCaprio,Actor,TV/Film Personality
100.txt,entertainment,Bill Cosby,Actor,TV/Film Personality
316.txt,entertainment,Johnny Depp,Actor,TV/Film Personality
316.txt,entertainment,Tim Burton,Director,TV/Film Personality
316.txt,entertainment,Nicolas Cage,Actor,TV/Film Personality
316.txt,entertainment,Iggy Pop,Musician,Musician
316.txt,entertainment,Leonardo DiCaprio,Actor,TV/Film Personality
316.txt,entertainment,Dame Judi Dench,Actress,TV/Film Personality
316.txt,entertainment,Juliette Binoche,Actress,TV/Film Personality
316.txt,entertainment,Kate Winslet,Actress,TV/Film Personality
316.txt,entertainment,Vanessa Paradis,Singer,Musician
316.txt,entertainment,Keith Richards,Musician,Musician
302.txt,entertainment,Julia Roberts,Actress,TV/Film Personality
302.txt,entertainment,Oprah Winfrey,Talk show host,Media Personality
302.txt,entertainment,John Cleese,Actor,TV/Film Personality
302.txt,entertainment,Steve Buscemi,Actor,TV/Film Personality
302.txt,entertainment,Dakota Fanning,Actress,TV/Film Personality
302.txt,entertainment,Gary Winick,Film director,TV/Film Personality
317.txt,entertainment,Patti Smith,"Rock star, Artistic Director",TV/Film Personality
317.txt,entertainment,Morrissey,Ex-Smiths star,TV/Film Personality
317.txt,entertainment,David Bowie,Musician,Musician
317.txt,entertainment,Nick Cave,Musician,Musician
317.txt,entertainment,Jeremy Irons,Actor,TV/Film Personality
101.txt,entertainment,Robert Redford,"Actor, Founder of Sundance Film Festival",TV/Film Personality
101.txt,entertainment,Sean McAllister,British Director,TV/Film Personality
101.txt,entertainment,Geoffrey Gilmore,Festival Director,TV/Film Personality
101.txt,entertainment,Keanu Reeves,Actor,TV/Film Personality
101.txt,entertainment,Benjamin Bratt,Actor,TV/Film Personality
101.txt,entertainment,Vince Vaughn,Actor,TV/Film Personality
101.txt,entertainment,Naomi Watts,Actress,TV/Film Personality
101.txt,entertainment,Shane Carruth,Director,TV/Film Personality
101.txt,entertainment,Morgan Spurlock,Director,TV/Film Personality
115.txt,entertainment,Snoop Dogg,Rapper,Musician
115.txt,entertainment,Jimmy Kimmel,TV show host,TV/Film Personality
115.txt,entertainment,Calvin Broadus,Rapper,Musician
075.txt,entertainment,Mike Leigh,Director,TV/Film Personality
075.txt,entertainment,Shane Meadows,Director,TV/Film Personality
075.txt,entertainment,Anthony Minghella,Director,TV/Film Personality
075.txt,entertainment,Cate Blanchett,Actress,TV/Film Personality
075.txt,entertainment,Helena Bonham-Carter,Actress,TV/Film Personality
075.txt,entertainment,Geoffrey Rush,Actor,TV/Film Personality
075.txt,entertainment,Daniel Craig,Actor,TV/Film Personality
075.txt,entertainment,Phil Davis,Actor,TV/Film Personality
075.txt,entertainment,Ian Hart,Actor,TV/Film Personality
075.txt,entertainment,Paddy Considine,Actor,TV/Film Personality
075.txt,entertainment,Scarlett Johansson,Actress,TV/Film Personality
075.txt,entertainment,Imelda Staunton,Actress,TV/Film Personality
075.txt,entertainment,Natalie Press,Actress,TV/Film Personality
075.txt,entertainment,Anne Reid,Actress,TV/Film Personality
075.txt,entertainment,Eva Birthistle,Actress,TV/Film Personality
075.txt,entertainment,Kevin McDonald,Director,TV/Film Personality
075.txt,entertainment,Roger Michell,Director,TV/Film Personality
075.txt,entertainment,Pavel Pavlikowsky,Director,TV/Film Personality
061.txt,entertainment,Mira Nair,Indian film director,TV/Film Personality
061.txt,entertainment,Reese Witherspoon,Actress,TV/Film Personality
061.txt,entertainment,Denzel Washington,Actor,TV/Film Personality
277.txt,entertainment,Julie Andrews,Actress,TV/Film Personality
277.txt,entertainment,Sandra Pires,Actress and Singer,Musician
263.txt,entertainment,Ray Charles,Musician,Musician
263.txt,entertainment,Joe Cocker,Musician,Musician
263.txt,entertainment,Steve Winwood,Musician,Musician
263.txt,entertainment,Eric Burdon,Musician,Musician
263.txt,entertainment,Van Morrison,Musician,Musician
263.txt,entertainment,Norah Jones,Musician,Musician
263.txt,entertainment,James Brown,Musician,Musician
263.txt,entertainment,Sam Cooke,Musician,Musician
263.txt,entertainment,Aretha Franklin,Musician,Musician
263.txt,entertainment,Otis Redding,Musician,Musician
263.txt,entertainment,Wilson Pickett,Musician,Musician
263.txt,entertainment,Milt Jackson,Musician,Musician
263.txt,entertainment,"David ""Fathead"" Newman",Musician,Musician
263.txt,entertainment,Roy Orbison,Musician,Musician
263.txt,entertainment,Elvis Presley,Musician,Musician
263.txt,entertainment,Eddie Cochran,Musician,Musician
263.txt,entertainment,Hank Williams,Musician,Musician
263.txt,entertainment,Quincy Jones,Producer,TV/Film Personality
263.txt,entertainment,Stevie Wonder,Musician,Musician
263.txt,entertainment,Curtis Mayfield,Musician,Musician
263.txt,entertainment,Marvin Gaye,Musician,Musician
263.txt,entertainment,Paul Jones,Musician,Musician
288.txt,entertainment,50 Cent,Rapper,Musician
288.txt,entertainment,The Game (Jayceon Taylor),Rapper,Musician
275.txt,entertainment,Nathan Lane,Actor,TV/Film Personality
275.txt,entertainment,Laura Michelle Kelly,Actress,TV/Film Personality
275.txt,entertainment,Richard Griffiths,Actor,TV/Film Personality
275.txt,entertainment,Nicholas Hytner,Director,TV/Film Personality
249.txt,entertainment,Joss Stone,Singer,Musician
063.txt,entertainment,Audrey Tautou,Actress,TV/Film Personality
063.txt,entertainment,Jean-Pierre Jeunet,Director,TV/Film Personality
063.txt,entertainment,Daniel Auteuil,Actor,TV/Film Personality
063.txt,entertainment,Mathieu Amalric,Actor,TV/Film Personality
063.txt,entertainment,Gerard Jugnot,Actor,TV/Film Personality
063.txt,entertainment,Philippe Torreton,Actor,TV/Film Personality
063.txt,entertainment,Benoit Poelvoorde,Actor,TV/Film Personality
063.txt,entertainment,Maggie Cheung,Actress,TV/Film Personality
063.txt,entertainment,Emmanuelle Devos,Actress,TV/Film Personality
063.txt,entertainment,Yolande Moreau,Actress,TV/Film Personality
063.txt,entertainment,Karin Viard,Actress,TV/Film Personality
063.txt,entertainment,Will Smith,Actor,TV/Film Personality
063.txt,entertainment,Jacques Dutronc,Singer/Actor,Musician
117.txt,entertainment,Jay-Z,"Rapper, Record Company Executive",Musician
117.txt,entertainment,LL Cool J,Musician,Musician
117.txt,entertainment,DMX,Musician,Musician
117.txt,entertainment,Ludacris,Musician,Musician
117.txt,entertainment,Ja Rule,Musician,Musician
117.txt,entertainment,Ashanti,Musician,Musician
117.txt,entertainment,Kanye West,Musician,Musician
117.txt,entertainment,Beanie Sigel,Musician,Musician
117.txt,entertainment,"Antonio ""LA"" Reid",Chairman of The Island Def Jam Music Group,TV/Film Personality
117.txt,entertainment,Rick Rubin,Producer,TV/Film Personality
301.txt,entertainment,Lisa Kudrow,Actress,TV/Film Personality
301.txt,entertainment,Maggie Gyllenhaal,Actress,TV/Film Personality
301.txt,entertainment,David Schwimmer,Actor,TV/Film Personality
301.txt,entertainment,Keanu Reeves,Actor,TV/Film Personality
301.txt,entertainment,Pierce Brosnan,Actor,TV/Film Personality
301.txt,entertainment,Kevin Costner,Actor,TV/Film Personality
301.txt,entertainment,Michael Keaton,Actor,TV/Film Personality
301.txt,entertainment,Robert Redford,"Actor, Founder of Sundance Film Festival",TV/Film Personality
301.txt,entertainment,Geoffrey Gilmore,Festival Director,TV/Film Personality
315.txt,entertainment,Dustin Hoffman,"Hollywood legend, actor",TV/Film Personality
315.txt,entertainment,Robert De Niro,Actor,TV/Film Personality
315.txt,entertainment,Barbra Streisand,"Actress, singer",Musician
315.txt,entertainment,Ben Stiller,"Actor, comedian",TV/Film Personality
329.txt,entertainment,Theo van Gogh,Director,TV/Film Personality
329.txt,entertainment,Ayaan Hirsi Ali,Politician,Politician
329.txt,entertainment,Sandra den Hamer,Festival Director,TV/Film Personality
314.txt,entertainment,Clara Bow,Actress,TV/Film Personality
314.txt,entertainment,Katherine Hepburn,Actress,TV/Film Personality
314.txt,entertainment,Douglas Fairbanks Sr,Actor,TV/Film Personality
314.txt,entertainment,George C Scott,Actor,TV/Film Personality
314.txt,entertainment,Marlon Brando,Actor,TV/Film Personality
314.txt,entertainment,Sacheen Littlefeather,Actress,TV/Film Personality
314.txt,entertainment,Frank Capra,Director,TV/Film Personality
300.txt,entertainment,Antonia Bernath,British actress,TV/Film Personality
300.txt,entertainment,Subhash Ghai,Bollywood director,TV/Film Personality
300.txt,entertainment,Nick Moran,Actor,TV/Film Personality
300.txt,entertainment,Michael Maloney,British actor,TV/Film Personality
300.txt,entertainment,Caroline Langrishe,British actor,TV/Film Personality
300.txt,entertainment,Polly Adams,British actor,TV/Film Personality
300.txt,entertainment,Annabelle Wallace,Actress,TV/Film Personality
300.txt,entertainment,Aamir Khan,Actor and Producer,TV/Film Personality
300.txt,entertainment,Toby Stephens,British actor,TV/Film Personality
102.txt,entertainment,Daniel Day-Lewis,Actor,TV/Film Personality
102.txt,entertainment,Kristin Scott Thomas,Actress,TV/Film Personality
102.txt,entertainment,George Michael,Singer,Musician
089.txt,entertainment,Dan O'Herlihy,Irish actor,TV/Film Personality
089.txt,entertainment,Luis Bunuel,Director,TV/Film Personality
089.txt,entertainment,Orson Welles,"Actor, Director",TV/Film Personality
089.txt,entertainment,Marlon Brando,Actor,TV/Film Personality
248.txt,entertainment,Beenie Man,Reggae artist,Musician
248.txt,entertainment,Sizzla,Reggae artist,Musician
248.txt,entertainment,Glen Yearwood,Media and PR strategist,TV/Film Personality
260.txt,entertainment,Christina Aguilera,Singer,Musician
260.txt,entertainment,Jordan Bratman,Music Executive,TV/Film Personality
260.txt,entertainment,Lil' Kim,Musician,Musician
260.txt,entertainment,Maya,Musician,Musician
260.txt,entertainment,Pink,Musician,Musician
260.txt,entertainment,Missy Elliott,Musician,Musician
274.txt,entertainment,Cat Deeley,TV presenter,TV/Film Personality
258.txt,entertainment,Courtney Love,Singer,Musician
258.txt,entertainment,Kristin King,Musician,Musician
264.txt,entertainment,Alicia Keys,R&B star,TV/Film Personality
264.txt,entertainment,Jamie Foxx,Actor,TV/Film Personality
264.txt,entertainment,Norah Jones,Singer,Musician
264.txt,entertainment,Kanye West,Musician,Musician
264.txt,entertainment,Usher,Musician,Musician
264.txt,entertainment,Gladys Knight,Singer,Musician
264.txt,entertainment,Jamie Foxx,Actor,TV/Film Personality
264.txt,entertainment,Britney Spears,Singer,Musician
264.txt,entertainment,Rod Stewart,Singer,Musician
264.txt,entertainment,Annie Lennox,Singer,Musician
264.txt,entertainment,John Adams,Composer,Musician
264.txt,entertainment,Bill Clinton,Former US President,Politician
072.txt,entertainment,Oliver Stone,Director,TV/Film Personality
072.txt,entertainment,Colin Farrell,Actor,TV/Film Personality
072.txt,entertainment,Nicolas Cage,Actor,TV/Film Personality
072.txt,entertainment,Angelina Jolie,Actor,TV/Film Personality
066.txt,entertainment,Paul Dergarabedian,Exhibitor Relations President,Politician
066.txt,entertainment,Jeff Blake,Sony Pictures Entertainment vice chairman,TV/Film Personality
106.txt,entertainment,Mike Skinner,British rapper and songwriter,Musician
106.txt,entertainment,Keane,Musician,Musician
106.txt,entertainment,Franz Ferdinand,Musician,Musician
106.txt,entertainment,Razorlight,Musician,Musician
106.txt,entertainment,Dizzee Rascal,Musician,Musician
106.txt,entertainment,The Zutons,Musician,Musician
106.txt,entertainment,Estelle,Musician,Musician
106.txt,entertainment,Joss Stone,Musician,Musician
106.txt,entertainment,Jamelia,Musician,Musician
304.txt,entertainment,Ridley Scott,Director,TV/Film Personality
310.txt,entertainment,Tony Robinson,Actor,TV/Film Personality
310.txt,entertainment,Rowan Atkinson,Actor,TV/Film Personality
310.txt,entertainment,Hugh Laurie,Actor,TV/Film Personality
310.txt,entertainment,Stephen Fry,Actor,TV/Film Personality
310.txt,entertainment,Miranda Richardson,Actor,TV/Film Personality
305.txt,entertainment,Stan Lee,"Comic book writer, editor, publisher",Media Personality
305.txt,entertainment,Jack Kirby,Comic book artist,Musician
305.txt,entertainment,Frank Miller,Comic book artist,Musician
305.txt,entertainment,John Romita,Comic book artist,Musician
339.txt,entertainment,Keanu Reeves,Actor,TV/Film Personality
113.txt,entertainment,Guy Whitcomb,Wal-Mart spokesman,Media Personality
107.txt,entertainment,Phil Jupitus,Radio show host,Media Personality
107.txt,entertainment,Andrew Collins,Radio show host,Media Personality
098.txt,entertainment,Tom Hanks,Actor,TV/Film Personality
098.txt,entertainment,Ron Howard,Director,TV/Film Personality
098.txt,entertainment,Brian Grazer,Producer,TV/Film Personality
271.txt,entertainment,Tim Renner,former head of Universal Music Germany,TV/Film Personality
259.txt,entertainment,Kanye West,"Rapper, Producer",Musician
059.txt,entertainment,Chris Rock,Host,Media Personality
059.txt,entertainment,Martin Scorsese,Director,TV/Film Personality
059.txt,entertainment,Jean-Pierre Jeunet,Director,TV/Film Personality
059.txt,entertainment,Ray Charles,Musician,Musician
065.txt,entertainment,Hayao Miyazaki,Oscar-winning director,TV/Film Personality
139.txt,entertainment,Alicia Keys,Soul singer,Musician
139.txt,entertainment,Tim McGraw,Country singer,Musician
139.txt,entertainment,Kanye West,Rap star,TV/Film Personality
139.txt,entertainment,Christine Milian,Singer,Musician
139.txt,entertainment,Queen Latifah,Rap star and Chicago actress,TV/Film Personality
111.txt,entertainment,Sir Elton John,British singer,Musician
111.txt,entertainment,Valery Giscard d'Estaing,Former French president,Politician
111.txt,entertainment,Anne-Aymone,Former French president's wife,Politician
111.txt,entertainment,Charles Aznavour,French singer,Musician
111.txt,entertainment,Phil Collins,Musician,Musician
111.txt,entertainment,Eric Clapton,Musician,Musician
111.txt,entertainment,Sharon Osbourne,Music manager,TV/Film Personality
313.txt,entertainment,Jana Bennett,Director of television,TV/Film Personality
313.txt,entertainment,Jane Lush,Controller of entertainment commissioning,TV/Film Personality
307.txt,entertainment,Patsy Rowlands,Actress,TV/Film Personality
306.txt,entertainment,Craig Prater,Executive Director of Bangkok International Film Festival,TV/Film Personality
306.txt,entertainment,Christine Rush,Director of Bangkok Film Market,TV/Film Personality
306.txt,entertainment,Oliver Stone,Hollywood Director,TV/Film Personality
306.txt,entertainment,Joel Schumacher,Hollywood Director,TV/Film Personality
306.txt,entertainment,Michael Douglas,Screen Star,TV/Film Personality
306.txt,entertainment,Jeremy Irons,British Actor,TV/Film Personality
306.txt,entertainment,Jean-Claude Van Damme,Screen Star,TV/Film Personality
312.txt,entertainment,Will Smith,Actor,TV/Film Personality
312.txt,entertainment,Tyler Perry,"Actor, Playwright",TV/Film Personality
312.txt,entertainment,Keanu Reeves,Actor,TV/Film Personality
312.txt,entertainment,Tommy Lee Jones,Actor,TV/Film Personality
312.txt,entertainment,Clint Eastwood,"Actor, Director",TV/Film Personality
312.txt,entertainment,Martin Scorsese,Director,TV/Film Personality
312.txt,entertainment,Kimberly Elise,Actress,TV/Film Personality
110.txt,entertainment,Tupac Shakur,Rapper,Musician
110.txt,entertainment,Dr. Dre,Musician,Musician
058.txt,entertainment,Dieter Kosslick,Festival director,TV/Film Personality
058.txt,entertainment,Will Smith,Actor,TV/Film Personality
058.txt,entertainment,Kevin Spacey,Actor,TV/Film Personality
058.txt,entertainment,Keanu Reeves,Actor,TV/Film Personality
201.txt,entertainment,Matt Lucas,Actor,TV/Film Personality
201.txt,entertainment,David Walliams,Actor,TV/Film Personality
